Project	Dataset	hex_color	color
Cd_1	C. difficile #1	#469990	teal
Cd_2	C. difficile #2	#000075	navy
Cd_3	C. difficile #3	#42d4f4	cyan
Cd_4	C. difficile #4	#4363d8	blue
Ec_1	E. coli #1	#f58231	orange
Ece_1	E. cloacae #1	#ffe119	yellow
Efm_1	E. faecium #1	#9A6324	brown
Efs_1	E. faecalis #1	#bfef45	lime
Kp_1	K. pneumoniae #1	#911eb4	purple
Kp_2	K. pneumoniae #2	#e6beff	lavendar
Lc_1	L. crispatus #1	#f032e6	magenta
Lp_1	L. pneumophila #1	#808000	olive
Sa_1	S. aureus #1	#e6194B	red
Sa_2	S. aureus #2	#fabebe	pink
Sa_3	S. aureus #3	#800000	maroon
Sm_1	S. maltophilia #1	#aaffc3	mint